epoch,accuracy,get_f1,loss,val_accuracy,val_get_f1,val_loss
0,0.45372408628463745,0.3039553463459015,48.49212646484375,0.48352015018463135,0.3572096526622772,46.210357666015625
1,0.49785393476486206,0.39741334319114685,45.05069351196289,0.5016299486160278,0.4088785648345947,44.61748123168945
2,0.5112714171409607,0.41998806595802307,43.923927307128906,0.5112653970718384,0.42207977175712585,43.85227966308594
3,0.5173953175544739,0.4315461218357086,43.33484649658203,0.5136424899101257,0.4501395523548126,43.729366302490234
4,0.5210116505622864,0.43773162364959717,42.99759292602539,0.5208286643028259,0.4360648989677429,43.05537796020508
5,0.5238953828811646,0.44266030192375183,42.71585464477539,0.5204336643218994,0.4190492033958435,43.20672607421875
6,0.5256644487380981,0.4456671178340912,42.52037811279297,0.5209110975265503,0.4330490529537201,42.91667556762695
7,0.5269466042518616,0.44818490743637085,42.3901252746582,0.5226149559020996,0.4639780819416046,43.0413818359375
8,0.5281884074211121,0.45040276646614075,42.25916290283203,0.5219278931617737,0.4438372850418091,42.76850128173828
9,0.5297530889511108,0.4520942270755768,42.146366119384766,0.5181939601898193,0.434175968170166,43.21592330932617
10,0.5306823253631592,0.4538401663303375,42.0761604309082,0.5214881896972656,0.4414421319961548,42.83280563354492
11,0.5314989686012268,0.45548000931739807,41.999366760253906,0.5232744812965393,0.4432810842990875,42.71087646484375
12,0.5320228338241577,0.4568702280521393,41.92609405517578,0.5244423747062683,0.46080735325813293,42.70585632324219
13,0.5328575968742371,0.4582676291465759,41.86039352416992,0.5238034725189209,0.4548543691635132,42.65678024291992
14,0.533548891544342,0.4593333899974823,41.80763244628906,0.5248168110847473,0.44608253240585327,42.6178092956543
15,0.5341792106628418,0.46036475896835327,41.764408111572266,0.5241985321044922,0.4541729986667633,42.66032409667969
16,0.534709095954895,0.4612758457660675,41.713287353515625,0.5231198668479919,0.45514848828315735,42.788814544677734
17,0.5353033542633057,0.46205034852027893,41.674617767333984,0.5250435471534729,0.45238903164863586,42.6300048828125
18,0.5352767109870911,0.4630240499973297,41.63090515136719,0.5258885622024536,0.44115185737609863,42.673091888427734
19,0.5355275273323059,0.4636727273464203,41.61275863647461,0.5267611145973206,0.4605124294757843,42.56370544433594
20,0.536145806312561,0.4639512896537781,41.57026290893555,0.5255656838417053,0.4573519825935364,42.613895416259766
21,0.5367417931556702,0.46517297625541687,41.52945327758789,0.5260294079780579,0.45592835545539856,42.648704528808594
22,0.5369728207588196,0.46568188071250916,41.50836944580078,0.5263110995292664,0.4631791412830353,42.56126403808594
23,0.5375370383262634,0.4663532078266144,41.459537506103516,0.526905357837677,0.4733356535434723,42.700279235839844
24,0.5375507473945618,0.4668559730052948,41.44315719604492,0.5250194668769836,0.4445054829120636,42.64637756347656
